time,open,high,low,close,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),Gaussian Moving Average,Gaussian Moving Average.1,Gaussian Moving Average.2,Unnamed: 12,Volume,Short MA,Long MA,Cross,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ticker
1445866200,45.95,48.48,43.79,47.81,,48.48,43.79,47.81,54.59809836363627,55.59942048010552,55.59942048010552,55.59942048010552,10297101.0,44.84700000000006,53.92240000000003,,46.51200757173736,30.9665135860275,,,,,,,FLR
1446474600,47.6,50.91,47.47,49.14,,50.91,47.47,49.14,54.379025467459385,55.24198970605577,55.24198970605577,55.24198970605577,9746032.0,45.196000000000055,53.52040000000002,,49.658907347333184,32.869145810943586,,,,,49.658907347333184,,FLR
1447079400,49.06,49.37,46.47,46.71,,49.37,46.47,46.71,54.18546105971123,54.93118699091521,54.93118699091521,54.93118699091521,8711151.0,45.501000000000055,53.21480000000003,,44.50672135762094,34.17950090709964,,,,,,,FLR
1447684200,46.69,49.4,46.53,48.15,,49.4,46.53,48.15,53.99099788994947,54.65950229877495,54.65950229877495,54.65950229877495,6746020.0,45.79200000000006,52.93000000000003,,47.95285552707286,35.55635946699173,,,,,,,FLR
1448289000,47.88,48.76,47.5,48.32,,48.76,47.5,48.32,53.76857514438095,54.41272703267684,54.41272703267684,54.41272703267684,4586010.0,46.29500000000006,52.75880000000003,,48.36055902943834,37.299346458216114,,,,,,,FLR
1448893800,48.22,49.41,47.51,48.09,,49.41,47.51,48.09,53.5317409280752,54.17835377812946,54.17835377812946,54.17835377812946,7669313.0,46.89000000000006,52.52260000000003,,47.814834108823504,38.79759493781927,,,,,,,FLR
1449498600,47.6,47.91,44.32,45.01,,47.91,44.32,45.01,53.23251053741275,53.9407704607417,53.9407704607417,53.9407704607417,8852018.0,47.15100000000005,52.21220000000003,,41.12260691819471,40.02229626212834,,,,,,,FLR
1450103400,44.83,47.225,44.03,45.74,,47.225,44.03,45.74,52.88979948969958,53.68880047542804,53.68880047542804,53.68880047542804,10285197.0,46.98400000000006,51.91320000000003,,43.15341656554509,40.93823087334626,,,,,,,FLR
1450708200,45.92,49.12,45.345,48.71,,49.12,45.345,48.71,52.4817061403395,53.408566212577576,53.408566212577576,53.408566212577576,6010291.0,47.38900000000006,51.73320000000003,,50.61653713988935,42.603834425854366,,,,,50.61653713988935,,FLR
1451313000,48.32,48.7,47.22,47.22,,48.7,47.22,47.22,52.03379716624927,53.09249505320761,53.09249505320761,53.09249505320761,4176615.0,47.49000000000005,51.59700000000004,,47.26409032877649,44.14639116252306,,,,,,,FLR
1451917800,46.53,48.11,43.2,43.33,,48.11,43.2,43.33,51.51719546865881,52.73129616323613,52.73129616323613,52.73129616323613,8983650.0,47.04200000000005,51.37740000000004,,39.84441449056015,45.08289668355554,,,,,,,FLR
1452522600,43.51,43.63,40.69,41.95,,43.63,40.69,41.95,51.30502493839295,52.37724375045227,52.37724375045227,52.37724375045227,12335626.0,46.32300000000005,51.144600000000025,,37.58996887832569,44.65895756968543,,,37.58996887832569,,,,FLR
1453213800,42.34,43.52,39.48,42.89,,43.52,39.48,42.89,51.17415547398485,52.04879139052542,52.04879139052542,52.04879139052542,8644419.0,45.94100000000005,50.90080000000003,,40.07709947783746,44.78361007041205,,,,,,,FLR
1453732200,42.55,44.96,42.02,44.89,,44.96,42.02,44.89,51.14611393026495,51.768138114394745,51.768138114394745,51.768138114394745,8508436.0,45.61500000000005,50.64300000000004,,45.09098771060008,44.96892903226821,,,,,,,FLR
1454337000,44.52,46.33,42.52,44.84,,46.33,42.52,44.84,51.11041274913172,51.53843662012617,51.53843662012617,51.53843662012617,9108678.0,45.26700000000005,50.35320000000004,,44.989638815038695,44.86018840678974,,,,,,,FLR
